study_ID,short_cite,long_cite,publication_year,doi,peer_reviewed,coder,expt_unique,expt_condition,same_sample,task_type,task_type_spec,participant_design,native_language,group_name_1,group_name_2,n_1,n_2,prosody_type,feature,unit,x_1,x_2,SD_1,SD_2,notes
Emmorey1987,Emmorey (1987),"Emmorey, K. D. (1987). The neurological substrates for prosodic aspects of speech. Brain and Language, 30(2), 305-320.",1987,https://doi.org/10.1016/0093-934X(87)90105-2,yes,"LNJ, ND",Emmorey (1987),NA,A,constrained_production,picture naming - noun compounds and noun phrases,between,English,LHD,HC,15,22,linguistic,pitch_variability,Mean pitch difference between noun compounds and noun phrases,3,36,8,34,NA
Emmorey1987,Emmorey (1987),"Emmorey, K. D. (1987). The neurological substrates for prosodic aspects of speech. Brain and Language, 30(2), 305-320.",1987,https://doi.org/10.1016/0093-934X(87)90105-2,yes,"LNJ, ND",Emmorey (1987).1,NA,A,constrained_production,picture naming - noun compounds and noun phrases,between,English,LHD,HC,6,12,linguistic,pause_duration,Intersyllabic pause,91,104,107,72,NA
Emmorey1987,Emmorey (1987),"Emmorey, K. D. (1987). The neurological substrates for prosodic aspects of speech. Brain and Language, 30(2), 305-320.",1987,https://doi.org/10.1016/0093-934X(87)90105-2,yes,"LNJ, ND",Emmorey (1987).2,1st word,A,constrained_production,picture naming - noun compounds and noun phrases,between,English,LHD,HC,15,22,linguistic,speech_duration,Vowel/Syllable,28,73,18,41,NA
Emmorey1987,Emmorey (1987),"Emmorey, K. D. (1987). The neurological substrates for prosodic aspects of speech. Brain and Language, 30(2), 305-320.",1987,https://doi.org/10.1016/0093-934X(87)90105-2,yes,"LNJ, ND",Emmorey (1987).3,2nd word,A,constrained_production,picture naming - noun compounds and noun phrases,between,English,LHD,HC,15,22,linguistic,speech_duration,Vowel/Syllable,9,45,23,30,NA
Ryalls1987,Ryalls et al. (1987),"Ryalls, J., Joanette, Y., & Feldman, L. (1987). An acoustic comparison of normal and righthemisphere-damaged speech prosody. Cortex, 23(4), 685-694.",1987,https://doi.org/10.1016/S0010-9452(87)80059-X,yes,"LNJ, ND",Ryalls et al. (1987),NA,B,constrained_production,sentence repetition,between,French,LHD,HC,NA,9,linguistic,pitch_variability,F0 range (adjusted to remove extreme values greater than 2 SDs),NA,36.9,NA,8,NA
Behrens1988,Behrens (1988),"Behrens, S. J. (1988). The role of the right hemisphere in the production of linguistic stress. Brain Lang, 33(1), 104-127.",1988,https://doi.org/10.1016/0093-934X(88)90057-0,yes,"LNJ, ND",Behrens (1988),1st syll stress,C,constrained_production,sentence completion,between,English,LHD,HC,NA,7,linguistic,pitch,Mean F0 in Hz,NA,102.2857143,NA,10.9805022,NA
Behrens1988,Behrens (1988),"Behrens, S. J. (1988). The role of the right hemisphere in the production of linguistic stress. Brain Lang, 33(1), 104-127.",1988,https://doi.org/10.1016/0093-934X(88)90057-0,yes,"LNJ, ND",Behrens (1988).1,2nd syll unstress,C,constrained_production,sentence completion,between,English,LHD,HC,NA,7,linguistic,pitch,Mean F0 in Hz,NA,86.14285714,NA,7.690439334,NA
Behrens1988,Behrens (1988),"Behrens, S. J. (1988). The role of the right hemisphere in the production of linguistic stress. Brain Lang, 33(1), 104-127.",1988,https://doi.org/10.1016/0093-934X(88)90057-0,yes,"LNJ, ND",Behrens (1988).2,1st syll unstress,C,constrained_production,sentence completion,between,English,LHD,HC,NA,7,linguistic,pitch,Mean F0 in Hz,NA,103.7142857,NA,12.47282761,NA
Behrens1988,Behrens (1988),"Behrens, S. J. (1988). The role of the right hemisphere in the production of linguistic stress. Brain Lang, 33(1), 104-127.",1988,https://doi.org/10.1016/0093-934X(88)90057-0,yes,"LNJ, ND",Behrens (1988).3,2nd syll stress,C,constrained_production,sentence completion,between,English,LHD,HC,NA,7,linguistic,pitch,Mean F0 in Hz,NA,92.85714286,NA,12.04752494,NA
Behrens1988,Behrens (1988),"Behrens, S. J. (1988). The role of the right hemisphere in the production of linguistic stress. Brain Lang, 33(1), 104-127.",1988,https://doi.org/10.1016/0093-934X(88)90057-0,yes,"LNJ, ND",Behrens (1988).4,1st syll stress,C,constrained_production,sentence completion,between,English,LHD,HC,NA,7,linguistic,intensity,NA,NA,61.85714286,NA,2.410295378,NA
Behrens1988,Behrens (1988),"Behrens, S. J. (1988). The role of the right hemisphere in the production of linguistic stress. Brain Lang, 33(1), 104-127.",1988,https://doi.org/10.1016/0093-934X(88)90057-0,yes,"LNJ, ND",Behrens (1988).5,2nd syll unstress,C,constrained_production,sentence completion,between,English,LHD,HC,NA,7,linguistic,intensity,NA,NA,56.85714286,NA,3.484660262,NA
Behrens1988,Behrens (1988),"Behrens, S. J. (1988). The role of the right hemisphere in the production of linguistic stress. Brain Lang, 33(1), 104-127.",1988,https://doi.org/10.1016/0093-934X(88)90057-0,yes,"LNJ, ND",Behrens (1988).6,1st syll unstress,C,constrained_production,sentence completion,between,English,LHD,HC,NA,7,linguistic,intensity,NA,NA,61.71428571,NA,2.288688541,NA
Behrens1988,Behrens (1988),"Behrens, S. J. (1988). The role of the right hemisphere in the production of linguistic stress. Brain Lang, 33(1), 104-127.",1988,https://doi.org/10.1016/0093-934X(88)90057-0,yes,"LNJ, ND",Behrens (1988).7,2nd syll stress,C,constrained_production,sentence completion,between,English,LHD,HC,NA,7,linguistic,intensity,NA,NA,59.14285714,NA,2.267786838,NA
Behrens1988,Behrens (1988),"Behrens, S. J. (1988). The role of the right hemisphere in the production of linguistic stress. Brain Lang, 33(1), 104-127.",1988,https://doi.org/10.1016/0093-934X(88)90057-0,yes,"LNJ, ND",Behrens (1988).8,Compound Nouns,C,constrained_production,sentence completion,between,English,LHD,HC,NA,7,linguistic,pause_duration,Intersyllabic pause,NA,156.1428571,NA,18.26133047,NA
Behrens1988,Behrens (1988),"Behrens, S. J. (1988). The role of the right hemisphere in the production of linguistic stress. Brain Lang, 33(1), 104-127.",1988,https://doi.org/10.1016/0093-934X(88)90057-0,yes,"LNJ, ND",Behrens (1988).9,Noun phrases,C,constrained_production,sentence completion,between,English,LHD,HC,NA,7,linguistic,pause_duration,Intersyllabic pause,NA,193.5714286,NA,41.20217285,NA
Behrens1988,Behrens (1988),"Behrens, S. J. (1988). The role of the right hemisphere in the production of linguistic stress. Brain Lang, 33(1), 104-127.",1988,https://doi.org/10.1016/0093-934X(88)90057-0,yes,"LNJ, ND",Behrens (1988).10,1st syll stress,C,constrained_production,sentence completion,between,English,LHD,HC,NA,7,linguistic,speech_duration,Vowel/Syllable,NA,104.285714,NA,14.1975853,NA
Behrens1988,Behrens (1988),"Behrens, S. J. (1988). The role of the right hemisphere in the production of linguistic stress. Brain Lang, 33(1), 104-127.",1988,https://doi.org/10.1016/0093-934X(88)90057-0,yes,"LNJ, ND",Behrens (1988).11,2nd syll unstress,C,constrained_production,sentence completion,between,English,LHD,HC,NA,7,linguistic,speech_duration,Vowel/Syllable,NA,115.571429,NA,39.4666828,NA
Behrens1988,Behrens (1988),"Behrens, S. J. (1988). The role of the right hemisphere in the production of linguistic stress. Brain Lang, 33(1), 104-127.",1988,https://doi.org/10.1016/0093-934X(88)90057-0,yes,"LNJ, ND",Behrens (1988).12,1st syll unstress,C,constrained_production,sentence completion,between,English,LHD,HC,NA,7,linguistic,speech_duration,Vowel/Syllable,NA,128.714286,NA,24.69625,NA
Behrens1988,Behrens (1988),"Behrens, S. J. (1988). The role of the right hemisphere in the production of linguistic stress. Brain Lang, 33(1), 104-127.",1988,https://doi.org/10.1016/0093-934X(88)90057-0,yes,"LNJ, ND",Behrens (1988).13,2nd syll stress,C,constrained_production,sentence completion,between,English,LHD,HC,NA,7,linguistic,speech_duration,Vowel/Syllable,NA,155.714286,NA,40.9256003,NA
Behrens1989,Behrens (1989),"Behrens, S. J. (1989). Characterizing sentence intonation in a right hemisphere-damaged population. Brain and language.",1989,https://doi.org/10.1016/0093-934X(89)90014-X,yes,"LNJ, ND",Behrens (1989),declaritives,C,constrained_production,story completion,between,English,LHD,HC,NA,7,linguistic,F0_contour,Linearity of pitch contour,NA,0.478571429,NA,0.205055161,NA
Behrens1989,Behrens (1989),"Behrens, S. J. (1989). Characterizing sentence intonation in a right hemisphere-damaged population. Brain and language.",1989,https://doi.org/10.1016/0093-934X(89)90014-X,yes,"LNJ, ND",Behrens (1989).1,imperatives,C,constrained_production,story completion,between,English,LHD,HC,NA,7,linguistic,F0_contour,Linearity of pitch contour,NA,0.558571429,NA,0.26717214,NA
Behrens1989,Behrens (1989),"Behrens, S. J. (1989). Characterizing sentence intonation in a right hemisphere-damaged population. Brain and language.",1989,https://doi.org/10.1016/0093-934X(89)90014-X,yes,"LNJ, ND",Behrens (1989).2,yes/no,C,constrained_production,story completion,between,English,LHD,HC,NA,7,linguistic,F0_contour,Linearity of pitch contour,NA,0.067142857,NA,0.682879059,NA
Behrens1989,Behrens (1989),"Behrens, S. J. (1989). Characterizing sentence intonation in a right hemisphere-damaged population. Brain and language.",1989,https://doi.org/10.1016/0093-934X(89)90014-X,yes,"LNJ, ND",Behrens (1989).3,wh-,C,constrained_production,story completion,between,English,LHD,HC,NA,7,linguistic,F0_contour,Linearity of pitch contour,NA,0.432857143,NA,0.167602137,NA
Behrens1989,Behrens (1989),"Behrens, S. J. (1989). Characterizing sentence intonation in a right hemisphere-damaged population. Brain and language.",1989,https://doi.org/10.1016/0093-934X(89)90014-X,yes,"LNJ, ND",Behrens (1989).4,declaritives,C,constrained_production,story completion,between,English,LHD,HC,NA,7,linguistic,F0_contour,Slope of pitch contour,NA,-0.675714286,NA,0.164403684,NA
