study_ID,short_cite,long_cite,publication_year,doi,peer_reviewed,coder,expt_unique,expt_condition,same_sample,task_type,task_type_spec,participant_design,native_language,group_name_1,group_name_2,n_1,n_2,prosody_type,feature,unit,x_1,x_2,SD_1,SD_2,notes
Emmorey1987,Emmorey (1987),"Emmorey, K. D. (1987). The neurological substrates for prosodic aspects of speech. Brain and Language, 30(2), 305-320.",1987,https://doi.org/10.1016/0093-934X(87)90105-2,yes,"LNJ, ND",Emmorey (1987),NA,A,constrained_production,picture naming - noun compounds and noun phrases,between,English,RHD,HC,7,22,linguistic,pitch_variability,Mean pitch difference between noun compounds and noun phrases,22,36,17,34,NA
Emmorey1987,Emmorey (1987),"Emmorey, K. D. (1987). The neurological substrates for prosodic aspects of speech. Brain and Language, 30(2), 305-320.",1987,https://doi.org/10.1016/0093-934X(87)90105-2,yes,"LNJ, ND",Emmorey (1987).1,NA,A,constrained_production,picture naming - noun compounds and noun phrases,between,English,RHD,HC,6,12,linguistic,pause_duration,Intersyllabic pause,52,104,55,72,NA
Emmorey1987,Emmorey (1987),"Emmorey, K. D. (1987). The neurological substrates for prosodic aspects of speech. Brain and Language, 30(2), 305-320.",1987,https://doi.org/10.1016/0093-934X(87)90105-2,yes,"LNJ, ND",Emmorey (1987).2,1st word,A,constrained_production,picture naming - noun compounds and noun phrases,between,English,RHD,HC,7,22,linguistic,speech_duration,Vowel/Syllable,61,73,61,41,NA
Emmorey1987,Emmorey (1987),"Emmorey, K. D. (1987). The neurological substrates for prosodic aspects of speech. Brain and Language, 30(2), 305-320.",1987,https://doi.org/10.1016/0093-934X(87)90105-2,yes,"LNJ, ND",Emmorey (1987).3,2nd word,A,constrained_production,picture naming - noun compounds and noun phrases,between,English,RHD,HC,7,22,linguistic,speech_duration,Vowel/Syllable,41,45,29,30,NA
Ryalls1987,Ryalls et al. (1987),"Ryalls, J., Joanette, Y., & Feldman, L. (1987). An acoustic comparison of normal and righthemisphere-damaged speech prosody. Cortex, 23(4), 685-694.",1987,https://doi.org/10.1016/S0010-9452(87)80059-X,yes,"LNJ, ND",Ryalls et al. (1987),NA,B,constrained_production,sentence repetition,between,French,RHD,HC,19,9,linguistic,pitch_variability,F0 range (adjusted to remove extreme values greater than 2 SDs),35.4,36.9,9.9,8,NA
Behrens1988,Behrens (1988),"Behrens, S. J. (1988). The role of the right hemisphere in the production of linguistic stress. Brain Lang, 33(1), 104-127.",1988,https://doi.org/10.1016/0093-934X(88)90057-0,yes,"LNJ, ND",Behrens (1988),1st syll stress,C,constrained_production,sentence completion,between,English,RHD,HC,8,7,linguistic,pitch,Mean F0 in Hz,124.875,102.2857143,22.27386361,10.9805022,NA
Behrens1988,Behrens (1988),"Behrens, S. J. (1988). The role of the right hemisphere in the production of linguistic stress. Brain Lang, 33(1), 104-127.",1988,https://doi.org/10.1016/0093-934X(88)90057-0,yes,"LNJ, ND",Behrens (1988).1,2nd syll unstress,C,constrained_production,sentence completion,between,English,RHD,HC,8,7,linguistic,pitch,Mean F0 in Hz,105,86.14285714,13.22335596,7.690439334,NA
Behrens1988,Behrens (1988),"Behrens, S. J. (1988). The role of the right hemisphere in the production of linguistic stress. Brain Lang, 33(1), 104-127.",1988,https://doi.org/10.1016/0093-934X(88)90057-0,yes,"LNJ, ND",Behrens (1988).2,1st syll unstress,C,constrained_production,sentence completion,between,English,RHD,HC,8,7,linguistic,pitch,Mean F0 in Hz,128.25,103.7142857,23.00155274,12.47282761,NA
Behrens1988,Behrens (1988),"Behrens, S. J. (1988). The role of the right hemisphere in the production of linguistic stress. Brain Lang, 33(1), 104-127.",1988,https://doi.org/10.1016/0093-934X(88)90057-0,yes,"LNJ, ND",Behrens (1988).3,2nd syll stress,C,constrained_production,sentence completion,between,English,RHD,HC,8,7,linguistic,pitch,Mean F0 in Hz,111.375,92.85714286,17.22902451,12.04752494,NA
Behrens1988,Behrens (1988),"Behrens, S. J. (1988). The role of the right hemisphere in the production of linguistic stress. Brain Lang, 33(1), 104-127.",1988,https://doi.org/10.1016/0093-934X(88)90057-0,yes,"LNJ, ND",Behrens (1988).4,1st syll stress,C,constrained_production,sentence completion,between,English,RHD,HC,8,7,linguistic,intensity,NA,55.125,61.85714286,9.156379509,2.410295378,NA
